id;symbol;date;close
12596;IBM;03.07.2017;155.58
12597;IBM;05.07.2017;153.67
12598;IBM;06.07.2017;152.36
12599;IBM;07.07.2017;152.94
12600;IBM;10.07.2017;153.42
12601;IBM;11.07.2017;153.19
12602;IBM;12.07.2017;153.7
12603;IBM;13.07.2017;153.63
12604;IBM;14.07.2017;154.24
12605;IBM;17.07.2017;153.01
12606;IBM;18.07.2017;154
12607;IBM;19.07.2017;147.53
12608;IBM;20.07.2017;147.66
12609;IBM;21.07.2017;147.08
12610;IBM;24.07.2017;145.99
12611;IBM;25.07.2017;146.19
12612;IBM;26.07.2017;145.36
12613;IBM;27.07.2017;145.07
12614;IBM;28.07.2017;144.29
12615;IBM;31.07.2017;144.67
12616;IBM;01.08.2017;145.3
12617;IBM;02.08.2017;144.45
12618;IBM;03.08.2017;144.94
12619;IBM;04.08.2017;145.16
12620;IBM;07.08.2017;143.47
12621;IBM;08.08.2017;142.11
12622;IBM;09.08.2017;141.77
12623;IBM;10.08.2017;141.84
12624;IBM;11.08.2017;141.84
12625;IBM;14.08.2017;142.32
12626;IBM;15.08.2017;142.07
12627;IBM;16.08.2017;142.5
12628;IBM;17.08.2017;140.7
12629;IBM;18.08.2017;139.7
12630;IBM;21.08.2017;140.33
12631;IBM;22.08.2017;141.01
12632;IBM;23.08.2017;142.14
12633;IBM;24.08.2017;142.94
12634;IBM;25.08.2017;143.74
12635;IBM;28.08.2017;142.51
12636;IBM;29.08.2017;143.14
12637;IBM;30.08.2017;142.56
12638;IBM;31.08.2017;143.03
12639;IBM;01.09.2017;144.08
12640;IBM;05.09.2017;143.04
12641;IBM;06.09.2017;143.82
12642;IBM;07.09.2017;142.9
12643;IBM;08.09.2017;142.45
12644;IBM;11.09.2017;144.86
12645;IBM;12.09.2017;145.76
12646;IBM;13.09.2017;145.99
12647;IBM;14.09.2017;145.54
12648;IBM;15.09.2017;144.82
12649;IBM;18.09.2017;144.55
12650;IBM;19.09.2017;144.39
12651;IBM;20.09.2017;145.88
12652;IBM;21.09.2017;145.26
12653;IBM;22.09.2017;145.13
12654;IBM;25.09.2017;145.87
12655;IBM;26.09.2017;146.56
12656;IBM;27.09.2017;145.66
12657;IBM;28.09.2017;145.66
12658;IBM;29.09.2017;145.08
12659;IBM;02.10.2017;146.66
12660;IBM;03.10.2017;146.78
12661;IBM;04.10.2017;146.48
12662;IBM;05.10.2017;146.72
12663;IBM;06.10.2017;146.48
12664;IBM;09.10.2017;147.39
12665;IBM;10.10.2017;148.5
12666;IBM;11.10.2017;147.62
12667;IBM;12.10.2017;147.03
12668;IBM;13.10.2017;147.1
12669;IBM;16.10.2017;146.83
12670;IBM;17.10.2017;146.54
12671;IBM;18.10.2017;159.53
12672;IBM;19.10.2017;160.9
12673;IBM;20.10.2017;162.07
12674;IBM;23.10.2017;159.55
12675;IBM;24.10.2017;155.88
12676;IBM;25.10.2017;153.5
12677;IBM;26.10.2017;153.6
12678;IBM;27.10.2017;153.68
12679;IBM;30.10.2017;154.36
12680;IBM;31.10.2017;154.06
12681;IBM;01.11.2017;154.03
12682;IBM;02.11.2017;153.35
12683;IBM;03.11.2017;151.58
12684;IBM;06.11.2017;150.84
12685;IBM;07.11.2017;151.35
12686;IBM;08.11.2017;151.57
12687;IBM;09.11.2017;150.3
12688;IBM;10.11.2017;149.16
12689;IBM;13.11.2017;148.4
12690;IBM;14.11.2017;148.89
12691;IBM;15.11.2017;147.1
12692;IBM;16.11.2017;149.12
12693;IBM;17.11.2017;148.97
12694;IBM;20.11.2017;150.51
12695;IBM;21.11.2017;151.95
12696;IBM;22.11.2017;151.77
12697;IBM;24.11.2017;151.84
12698;IBM;27.11.2017;151.98
12699;IBM;28.11.2017;152.47
12700;IBM;29.11.2017;153.55
12701;IBM;30.11.2017;153.97
12702;IBM;01.12.2017;154.76
12703;IBM;04.12.2017;156.46
12704;IBM;05.12.2017;155.35
12705;IBM;06.12.2017;154.1
12706;IBM;07.12.2017;153.57
12707;IBM;08.12.2017;154.81
