Code;Name;CountryISO;ISIN;CCY;Sector;Industry;GicSector;GicGroup;GicIndustry;GicSubIndustry;HQ;FullTimeEmployees;WebURL;UpdateDate;ActiveFlag
SLIGR AS;Sligro Food Group NV;NL;NL0000817179;EUR;Consumer Defensive;Food Distribution;Consumer Staples;Consumer Staples Distribution & Retail;Consumer Staples Distribution & Retail;Food Distributors;Netherlands;4113;https://www.sligrofoodgroup.nl;18.10.2023;1
SLM US;SLM Corp;US;US78442P1066;USD;Financial Services;Credit Services;Financials;Financial Services;Consumer Finance;Consumer Finance;United States;1700;https://www.salliemae.com;18.09.2023;1
SM US;SM Energy Co;US;US78454L1008;USD;Energy;Oil & Gas E&P;Energy;Energy;Oil, Gas & Consumable Fuels;Oil & Gas Exploration & Production;United States;539;https://sm-energy.com;18.09.2023;1
SMWN XETRA;SM Wirtschaftsberatungs AG;DE;DE000A1RFMZ1;EUR;Real Estate;REIT - Diversified;Real Estate;Equity Real Estate Investment Trusts (REITs);Real Estate Management & Development;Real Estate Operating Companies;Germany;8;https://www.smw-ag.de;19.10.2023;1
S92 F;SMA Solar Technology AG;DE;DE000A0DJ6J9;EUR;Technology;Solar;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;Germany;3945;https://www.sma.de;19.09.2023;1
ALSMA PA;SMAIO SA;FR;FR0014005I80;EUR;Healthcare;Health Information Services;Health Care;Health Care Equipment & Services;Health Care Technology;Health Care Technology;France;31;https://smaio.com;05.09.2023;1
MLSML PA;Smalto SA;FR;FR0011131788;EUR;Consumer Cyclical;Apparel Manufacturing;Consumer Discretionary;Consumer Durables & Apparel;Textiles, Apparel & Luxury Goods;Apparel, Accessories & Luxury Goods;France;118;https://www.smalto.com;18.10.2023;1
SMFL US;Smart for Life Inc;US;US83204U1034;USD;Consumer Defensive;Packaged Foods;Consumer Staples;Food, Beverage & Tobacco;Food Products;Packaged Foods & Meats;United States;145;https://www.smartforlife.com;17.09.2023;1
SGH US;Smart Global Holdings Inc;US;USG8232Y1013;USD;Technology;Semiconductors;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;United States;3600;https://www.sghcorp.com;19.09.2023;1
SND US;Smart Sand Inc;US;US83191H1077;USD;Energy;Oil & Gas Equipment & Services;Energy;Energy;Energy Equipment & Services;Oil & Gas Equipment & Services;United States;328;https://www.smartsand.com;19.09.2023;1
SMBK US;SmartFinancial Inc;US;US83190L2088;USD;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;United States;583;https://www.smartbank.com;19.09.2023;1
SMAR US;Smartsheet Inc;US;US83200N1037;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;3337;https://www.smartsheet.com;17.09.2023;1
SMCP PA;Smcp SAS;FR;FR0013214145;EUR;Consumer Cyclical;Apparel Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Specialty Retail;Apparel Retail;France;6788;https://www.smcp.com;19.10.2023;1
SDC US;SmileDirectClub Inc;US;US83192H1068;USD;Healthcare;Medical Instruments & Supplies;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Supplies;United States;2700;https://www.smiledirectclub.com;17.09.2023;1
SWBI US;Smith & Wesson Brands Inc;US;US8317541063;USD;Industrials;Aerospace & Defense;Consumer Discretionary;Consumer Durables & Apparel;Leisure Products;Leisure Products;United States;1682;https://www.smith-wesson.com;17.09.2023;1
AOS US;Smith AO Corporation;US;US8318652091;USD;Industrials;Specialty Industrial Machinery;Industrials;Capital Goods;Building Products;Building Products;United States;12000;https://www.aosmith.com;19.09.2023;1
SMSI US;Smith Micro Software Inc;US;US8321542073;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;315;https://www.smithmicro.com;18.09.2023;1
SMID US;Smith-Midland Corp;US;US8321561032;USD;Basic Materials;Building Materials;Materials;Materials;Construction Materials;Construction Materials;United States;178;https://smithmidland.com;19.09.2023;1
SNAP US;Snap Inc;US;US83304A1060;USD;Communication Services;Internet Content & Information;Communication Services;Media & Entertainment;Interactive Media & Services;Interactive Media & Services;United States;5288;https://www.snap.com;19.09.2023;1
SNPO US;Snap One Holdings Corp;US;US83303Y1055;USD;Technology;Electronics & Computer Distribution;Information Technology;Technology Hardware & Equipment;Electronic Equipment, Instruments & Components;Electronic Equipment & Instruments;United States;1652;https://snapone.com;17.09.2023;1
SNA US;Snap-On Inc;US;US8330341012;USD;Industrials;Tools & Accessories;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;United States;12900;https://www.snapon.com;18.09.2023;1
SNOW US;Snowflake Inc.;US;US8334451098;USD;Technology;Software-Application;Information Technology;Software & Services;IT Services;Internet Services & Infrastructure;United States;6659;https://www.snowflake.com;18.09.2023;1
SHF XETRA;SNP Schneider-Neureither & Partner SE;DE;DE0007203705;EUR;Technology;Information Technology Services;Information Technology;Software & Services;IT Services;Data Processing & Outsourced Services;Germany;1361;https://www.snpgroup.com;19.10.2023;1
SOBR US;Sobr Safe Inc;US;US8335922071;USD;Technology;Scientific & Technical Instruments;Information Technology;Technology Hardware & Equipment;Electronic Equipment, Instruments & Components;Electronic Equipment & Instruments;United States;15;https://sobrsafe.com;17.09.2023;1
CBSM PA;Soc Centrale Bois Scieries Manche SA;FR;FR0006239109;EUR;Real Estate;REIT - Diversified;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Diversified REITs;France;4;https://www.scbsm.fr;19.10.2023;1
SFCA PA;Soc Franc Casinos;FR;FR0010209809;EUR;Consumer Cyclical;Resorts & Casinos;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Casinos & Gaming;France;133;https://www.casinos-sfc.com;18.10.2023;1
SCTL US;Societal CDMO Inc;US;US75629F1093;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;275;https://www.societalcdmo.com;17.09.2023;1
EIFF PA;Societe de la Tour Eiffel SA;FR;FR0000036816;EUR;Real Estate;REIT - Office;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Office REITs;France;57;https://www.societetoureiffel.com;19.10.2023;1
GLE PA;Societe Generale S.A.;FR;FR0000130809;EUR;Financial Services;Banks - Regional;Financials;Banks;Banks;Regional Banks;France;117000;https://www.societegenerale.com;18.10.2023;1
LOUP PA;Societe LDC SA;FR;FR0013204336;EUR;Consumer Defensive;Packaged Foods;Consumer Staples;Food, Beverage & Tobacco;Food Products;Packaged Foods & Meats;France;21676;https://www.ldc.fr;18.10.2023;1
SCKT US;Socket Mobile Inc;US;US83368E2000;USD;Technology;Computer Hardware;Information Technology;Technology Hardware & Equipment;Technology Hardware, Storage & Peripherals;Technology Hardware, Storage & Peripherals;United States;56;https://www.socketmobile.com;19.09.2023;1
SW PA;Sodexo SA;FR;FR0000121220;EUR;Industrials;Specialty Business Services;Industrials;Commercial & Professional Services;Commercial Services & Supplies;Diversified Support Services;France;422000;https://www.sodexo.com;19.10.2023;1
SOFI US;SoFi Technologies Inc.;US;US83406F1021;USD;Financial Services;Credit Services;Financials;Financial Services;Consumer Finance;Consumer Finance;United States;4200;https://www.sofi.com;04.09.2023;1
SYT XETRA;Softing AG;DE;DE0005178008;EUR;Technology;Information Technology Services;Information Technology;Software & Services;IT Services;Data Processing & Outsourced Services;Germany;408;https://company.softing.com;18.10.2023;1
SFD1 XETRA;Softline AG;DE;DE000A2DAN10;EUR;Technology;Information Technology Services;Information Technology;Software & Services;IT Services;Data Processing & Outsourced Services;Germany;244;https://www.softline-group.com;19.10.2023;1
SWAG US;Software Acquisition Group III Inc;US;US83407J1034;USD;Communication Services;Advertising Agencies;Communication Services;Media & Entertainment;Entertainment;Movies & Entertainment;United States;98;;05.09.2023;1
SOW F;Software Aktiengesellschaft;DE;DE000A2GS401;EUR;Technology;Software-Infrastructure;Information Technology;Software & Services;Software;Application Software;Germany;4775;https://www.softwareag.com;19.09.2023;1
SWON SW;Softwareone Holding;CH;CH0496451508;CHF;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;Switzerland;9257;https://www.softwareone.com;05.09.2023;1
